"Gender Inequality Index (GII)"
"HDI Rank (2018)","Country","2018",""
"170","Afghanistan","0.575",""
"69","Albania","0.234",""
"82","Algeria","0.443",""
"149","Angola","0.578",""
"48","Argentina","0.354",""
"81","Armenia","0.259",""
"6","Australia","0.103",""
"20","Austria","0.073",""
"87","Azerbaijan","0.321",""
"60","Bahamas","0.353",""
"45","Bahrain","0.207",""
"135","Bangladesh","0.536",""
"56","Barbados","0.256",""
"50","Belarus","0.119",""
"17","Belgium","0.045",""
"103","Belize","0.391",""
"163","Benin","0.613",""
"134","Bhutan","0.436",""
"114","Bolivia (Plurinational State of)","0.446",""
"75","Bosnia and Herzegovina","0.162",""
"94","Botswana","0.464",""
"79","Brazil","0.386",""
"43","Brunei Darussalam","0.234",""
"52","Bulgaria","0.218",""
"182","Burkina Faso","0.612",""
"185","Burundi","0.520",""
"126","Cabo Verde","0.372",""
"146","Cambodia","0.474",""
"150","Cameroon","0.566",""
"13","Canada","0.083",""
"188","Central African Republic","0.682",""
"187","Chad","0.701",""
"42","Chile","0.288",""
"85","China","0.163",""
"79","Colombia","0.411",""
"138","Congo","0.579",""
"179","Congo (Democratic Republic of the)","0.655",""
"68","Costa Rica","0.285",""
"46","Croatia","0.122",""
"72","Cuba","0.313",""
"31","Cyprus","0.086",""
"26","Czechia","0.137",""
"165","Côte d'Ivoire","0.657",""
"11","Denmark","0.040",""
"89","Dominican Republic","0.453",""
"85","Ecuador","0.389",""
"116","Egypt","0.450",""
"124","El Salvador","0.397",""
"30","Estonia","0.091",""
"138","Eswatini (Kingdom of)","0.579",""
"173","Ethiopia","0.508",""
"98","Fiji","0.357",""
"12","Finland","0.050",""
"26","France","0.051",""
"115","Gabon","0.534",""
"174","Gambia","0.620",""
"70","Georgia","0.351",""
"4","Germany","0.084",""
"142","Ghana","0.541",""
"32","Greece","0.122",""
"126","Guatemala","0.492",""
"123","Guyana","0.492",""
"169","Haiti","0.620",""
"132","Honduras","0.479",""
"43","Hungary","0.258",""
"6","Iceland","0.057",""
"129","India","0.501",""
"111","Indonesia","0.451",""
"65","Iran (Islamic Republic of)","0.492",""
"120","Iraq","0.540",""
"3","Ireland","0.093",""
"22","Israel","0.100",""
"29","Italy","0.069",""
"96","Jamaica","0.405",""
"19","Japan","0.099",""
"102","Jordan","0.469",""
"50","Kazakhstan","0.203",""
"147","Kenya","0.545",""
"22","Korea (Republic of)","0.058",""
